timestamp,product_id,handle,old_title,new_title
2026-07-03T10:10:29.893Z,gid://shopify/Product/15039069749634,"adidas-gazelle-off-white-cloud-white-w","adidas Gazelle Off White Cloud White (Women's) | Resell","adidas Gazelle Off White Cloud White (Women's)"
2026-07-03T10:10:30.231Z,gid://shopify/Product/15039069880706,"adidas-sl-72-og-caroline-hu-black-carbon-womens","adidas SL 72 OG Caroline Hu Black Carbon (Women's) | Resell","adidas SL 72 OG Caroline Hu Black Carbon (Women's)"
2026-07-03T10:10:30.606Z,gid://shopify/Product/15039069913474,"adidas-sl-72-off-white-almost-pink-womens","adidas SL 72 Off White Almost Pink (Women's) | Resell","adidas SL 72 Off White Almost Pink (Women's)"
2026-07-03T10:10:30.912Z,gid://shopify/Product/15039070208386,"adidas-gazelle-bold-collegiate-green-womens","adidas Gazelle Bold Collegiate Green (Women's) | Resell","adidas Gazelle Bold Collegiate Green (Women's)"
2026-07-03T10:10:31.322Z,gid://shopify/Product/15039070241154,"adidas-handball-spezial-sporty-and-rich-night-indigo","adidas Handball Spezial Sporty & Rich Night Indigo | Resell","adidas Handball Spezial Sporty & Rich Night Indigo"
2026-07-03T10:10:31.652Z,gid://shopify/Product/15039070470530,"adidas-sl-72-rtn-royal-blue-off-white-core-black","adidas SL 72 RTN Royal Blue Off White Core Black | Resell","adidas SL 72 RTN Royal Blue Off White Core Black"
2026-07-03T10:10:31.998Z,gid://shopify/Product/15039071093122,"adidas-handball-spezial-seed-paint-splater","adidas Handball Spezial S.E.E.D Paint Splater | Resell","adidas Handball Spezial S.E.E.D Paint Splater"
2026-07-03T10:10:32.353Z,gid://shopify/Product/15039071125890,"adidas-gazelle-valentines-day-2024-womens","adidas Gazelle Valentine's Day (2024) (Women's) | Resell","adidas Gazelle Valentine's Day (2024) (Women's)"
2026-07-03T10:10:32.804Z,gid://shopify/Product/15042132869506,"adidas-samba-og-kith-classics-white-orbit-grey","adidas Samba OG Kith Classics White Orbit Grey | Resell","adidas Samba OG Kith Classics White Orbit Grey"
2026-07-03T10:10:33.227Z,gid://shopify/Product/15042132967810,"adidas-samba-og-cloud-white-silver-green-gs","adidas Samba OG Cloud White Silver Green () | Resell","adidas Samba OG Cloud White Silver Green ()"
2026-07-03T10:10:33.627Z,gid://shopify/Product/15042133361026,"adidas-performance-4d-run-1-footwear-white","adidas Performance 4D Run 1.0 Footwear White | Resell","adidas Performance 4D Run 1.0 Footwear White"
2026-07-03T10:10:34.030Z,gid://shopify/Product/15042134147458,"adidas-handball-spezial-blue-better-scarlet","adidas Handball Spezial Blue Better Scarlet | Resell","adidas Handball Spezial Blue Better Scarlet"
2026-07-03T10:10:34.339Z,gid://shopify/Product/15042134802818,"adidas-nmd-r1-cloud-white-wonder-quartz-womens","adidas NMD R1 Cloud White Wonder Quartz (Women's) | Resell","adidas NMD R1 Cloud White Wonder Quartz (Women's)"
2026-07-03T10:10:34.659Z,gid://shopify/Product/15042134999426,"adidas-handball-spezial-size-exclusive-sand-gum","adidas Handball Spezial size? Exclusive Sand Gum | Resell","adidas Handball Spezial size? Exclusive Sand Gum"
2026-07-03T10:10:35.008Z,gid://shopify/Product/15042135032194,"adidas-campus-00s-core-black-cloud-white-womens","adidas Campus 00s Core Black Cloud White (Women's) | Resell","adidas Campus 00s Core Black Cloud White (Women's)"
2026-07-03T10:10:35.459Z,gid://shopify/Product/15042135458178,"adidas-gazelle-light-blue-off-white-cream-white","adidas Gazelle Light Blue Off White Cream White | Resell","adidas Gazelle Light Blue Off White Cream White"
