timestamp,handle,product_id,old_title,new_title,old_description,new_description
2026-07-03T09:38:03.571Z,adidas-copa-ace-16-purecontrol-ultra-boost-kith-golden-goal,gid://shopify/Product/15046134595970,adidas COPA ACE 16+ Purecontrol Ultra Boost Kith Golden Goal | Rese...,adidas COPA ACE 16+ Purecontrol Ultra Boost Kith Golden,,
2026-07-03T09:38:04.045Z,adidas-gazelle-size-exclusive-navy-blue,gid://shopify/Product/15046134628738,adidas Gazelle size? Exclusive Navy Blue | Resell Lausanne Suisse,adidas Gazelle size? Exclusive Navy Blue | Resell Lausanne,,
2026-07-03T09:38:04.506Z,adidas-sl-72-og-dark-brown-white,gid://shopify/Product/15046134694274,adidas SL 72 OG Dark Brown White (Women's) | Resell Lausanne Suisse,adidas SL 72 OG Dark Brown White (Women's) | Resell Lausanne,,
2026-07-03T09:38:04.976Z,adidas-sl-72-rs-legend-ivy-shadow-olive,gid://shopify/Product/15046134759810,adidas SL 72 RS Legend Ivy Shadow Olive | Resell Lausanne Suisse,adidas SL 72 RS Legend Ivy Shadow Olive | Resell Lausanne,,
2026-07-03T09:38:05.419Z,adidas-gazelle-super-pop-pink-shadow-red,gid://shopify/Product/15046134792578,adidas Gazelle Super Pop Pink Shadow Red | Resell Lausanne Suisse,adidas Gazelle Super Pop Pink Shadow Red | Resell Lausanne,,
2026-07-03T09:38:05.951Z,adidas-handball-spezial-warm-sandstone-clear-pink-womens,gid://shopify/Product/15046134858114,adidas Handball Spezial Warm Sandstone Clear Pink (Women's) | Resel...,adidas Handball Spezial Warm Sandstone Clear Pink (Women's),,
2026-07-03T09:38:06.409Z,adidas-handball-spezial-preloved-scarlet-almost-yellow-womens,gid://shopify/Product/15046134923650,adidas Handball Spezial Preloved Scarlet Almost Yellow (Women's) |...,adidas Handball Spezial Preloved Scarlet Almost Yellow,,
2026-07-03T09:38:06.912Z,adidas-gazelle-indoor-sean-wotherspoon-mylo,gid://shopify/Product/15046134956418,adidas Gazelle Indoor Sean Wotherspoon Mylo | Resell Lausanne Suisse,adidas Gazelle Indoor Sean Wotherspoon Mylo | Resell,,
2026-07-03T09:38:07.447Z,adidas-sl-72-collegiate-green-womens,gid://shopify/Product/15046135021954,adidas SL 72 Collegiate Green (Women's) | Resell Lausanne Suisse,adidas SL 72 Collegiate Green (Women's) | Resell Lausanne,,
2026-07-03T09:38:07.978Z,adidas-sl-72-og-off-white-wonder-taupe-wonder-white-womens,gid://shopify/Product/15046135054722,adidas SL 72 OG Off White Wonder Taupe Wonder White (Women's) | Res...,adidas SL 72 OG Off White Wonder Taupe Wonder White,,
2026-07-03T09:38:08.468Z,adidas-gazelle-magic-beige-cloud-white,gid://shopify/Product/15046135218562,adidas Gazelle Magic Beige Cloud White | Resell Lausanne Suisse,adidas Gazelle Magic Beige Cloud White | Resell Lausanne,,
2026-07-03T09:38:08.980Z,adidas-gazelle-grey-cloud-white-gold-metallic-gs,gid://shopify/Product/15046135349634,adidas Gazelle Grey Cloud White Gold Metallic (GS) | Resell Lausann...,adidas Gazelle Grey Cloud White Gold Metallic () | Resell,,
2026-07-03T09:38:09.531Z,adidas-samba-decon-pantone-silver-metallic,gid://shopify/Product/15046135513474,adidas Samba Decon Pantone Silver Metallic | Resell Lausanne Suisse,adidas Samba Decon Pantone Silver Metallic | Resell Lausanne,,
2026-07-03T09:38:10.058Z,adidas-superstar-82-cloud-white-metal-grey,gid://shopify/Product/15046135644546,adidas Superstar 82 Cloud White Metal Grey | Resell Lausanne Suisse,adidas Superstar 82 Cloud White Metal Grey | Resell Lausanne,,
2026-07-03T09:38:10.473Z,adidas-originals-x-minecraft-jacket-pulse-magenta,gid://shopify/Product/15046135742850,adidas Originals x Minecraft Jacket Pulse Magenta | Resell Lausanne...,adidas Originals x Minecraft Jacket Pulse Magenta | Resell,,
2026-07-03T09:38:11.052Z,adidas-predator-elite-foldover-tongue-fg-teamgeist,gid://shopify/Product/15046135841154,adidas Predator Elite Foldover Tongue FG +Teamgeist | Resell Lausan...,adidas Predator Elite Foldover Tongue FG +Teamgeist,,
2026-07-03T09:38:11.575Z,adidas-gazelle-indoor-shadow-red-semi-spark-green,gid://shopify/Product/15046135939458,adidas Gazelle Indoor Shadow Red Semi Spark Green | Resell Lausanne...,adidas Gazelle Indoor Shadow Red Semi Spark Green | Resell,,
2026-07-03T09:38:12.052Z,adidas-sambae-halo-blue-blue-spark-metallic-womens,gid://shopify/Product/15046136004994,adidas Sambae Halo Blue Blue Spark Metallic (Women's) | Resell Laus...,adidas Sambae Halo Blue Blue Spark Metallic (Women's),,
2026-07-03T09:38:12.528Z,adidas-sambae-core-black-metallic-gold-womens,gid://shopify/Product/15046136103298,adidas Sambae Core Black Metallic Gold (Women's) | Resell Lausanne...,adidas Sambae Core Black Metallic Gold (Women's) | Resell,,
2026-07-03T09:38:13.044Z,adidas-samba-pharrell-humanrace-orange,gid://shopify/Product/15046136136066,adidas Samba Pharrell Humanrace Orange | Resell Lausanne Suisse,adidas Samba Pharrell Humanrace Orange | Resell Lausanne,,
2026-07-03T09:38:13.529Z,adidas-gazelle-indoor-cream-white-blue-orange,gid://shopify/Product/15046137643394,adidas Gazelle Indoor Cream White Blue Orange | Resell Lausanne Suisse,adidas Gazelle Indoor Cream White Blue Orange | Resell,,
2026-07-03T09:38:13.963Z,adidas-handball-spezial-night-indigo-yellow,gid://shopify/Product/15046137676162,adidas Handball Spezial Night Indigo Yellow | Resell Lausanne Suisse,adidas Handball Spezial Night Indigo Yellow | Resell,,
